sample_id	121-Si8-C	123-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006265417	0.000696681	0.000416095	0.000231518	0.000495263	0	0.031977823	0.007907477	0.000211632	0	5.94E-05	0	0.018718708	0.013589922	0.013424719	0.004823893
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0	0	0	0	0	0	0	0.005164737	0	0.005451339	0.008818342	0.002159827	0	0.001257862	0	0	0	0	0	0	0	0	0	0	0	0.002500798	0	0	0	0	0	0	0.001196141	0.017967288	0.005949435	0	0	0	0	0.006120823	0.009728888	0.019971924	0.005054702
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089376054	0	0	6.82E-05	0	0	0	0	0.000161377	0	6.03E-05	0	0	0.00037567	0.000373895	0.000465972	8.08E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000159625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252605	0.062005448	0	0.027143055
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000718965	0	0.08010118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0	0	0	0	0.00295858	0	0	0.002315227	0.002131287	0	0.00154321	0	0.001987353	0	0	0	0	0.002158495	0	0.000604705	0	0	0.03035571	0.00607012	0.001557757	0.009630733	0	0	0.000248322	0.000279671	0.000115759	0	0	0.003538174	0.001011296	0	0	0	0	0.005641521	0.004326494	0.002436032	0.001169429
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	0	0	0	0	0	0	0	0.01460374	0.000710429	0	0	0	0.001264679	0	0	0	0	0	0	0	0	0	0	0.002093145	0	0	0	0	0	0	0	0	0.000923491	0.001990223	0.00591716	0	3.84E-05	0	0	0.008407226	0.009400777	0.01870967	0.002531198
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000763553	0.011235955	0	0.009353479	0	0.005502812	0	0	0.009828831	0.014233386	0	0.010748111	0	0	0	0	0	0	0	0.000900339	0.001785906	0	0	0	0	0.000744862	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001069165	0.000579805	0	0.0001474	0.001987704	0.000718692	0.046659494	0.002226741	0.003402441	0.002675164	0.001119655	0	0.000526505	0.001462799	0.002200372
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007911818	0.004979502	0.003443835	0.004610659	0.004863719	0.001200452	0.000107585	0	0.001923119	0.003632278	0.008491193	0.010952711	0.001663449	0.005963265	0.004800812
