OTU_ID	121-Si8-C_S25	121-Si8-MAB_S59	122-Si8-MAB_S60	123-Si8-C_S27	123-Si8-MAB_S61	124-Si8-MAB_S62	125-Si8-C_S29	125-Si8-MAB_S63	126-Si8-C_S30	126-Si8-MAB_S64	127-Si8-C_S31	127-Si8-MAB_S65	128-Si8-C_S32	128-Si8-MAB_S66	129-Si8-C_S33	129-Si8-MAB_S67	130-Si8-C_S34	130-Si8-MAB_S68	131-Si8-C_S35	131-Si8-MAB_S69	132-Si8-C_S36	132-Si8-MAB_S70	133-Si8-C_S37	133-Si8-MAB_S71	134-Si8-C_S38	134-Si8-MAB_S72	135-Si8-C_S39	135-Si8-MAB_S73	136-Si8-C_S40	136-Si8-MAB_S74	137-Si8-C_S41	137-Si8-MAB_S75	138-Si8-C_S42	138-Si8-MAB_S76	386-Si8-content_S13	386-Si8-MAB_S1	387-Si8-content_S14	387-Si8-MAB_S2	388-Si8-content_S15	388-Si8-MAB_S3	389-Si8-content_S16	389-Si8-MAB_S4	390-Si8-content_S17	390-Si8-MAB_S5	391-Si8-content_S18	391-Si8-MAB_S6	392-Si8-content_S19	392-Si8-MAB_S7	393-Si8-content_S20	393-Si8-MAB_S8	394-Si8-content_S21	394-Si8-MAB_S9	395-Si8-content_S22	395-Si8-MAB_S10	396-Si8-content_S23	396-Si8-MAB_S11	397-Si8-content_S24	397-Si8-MAB_S12	49-Si8-C_S16	49-Si8-MAB_S18	50-Si8-C_S17	50-Si8-MAB_S19	51-Si8-C_S18	51-Si8-MAB_S20	52-Si8-C_S19	52-Si8-MAB_S21	53-Si8-MAB_S22	54-Si8-C_S21	54-Si8-MAB_S23	55-Si8-C_S22	55-Si8-MAB_S24	56-Si8-C_S23	56-Si8-MAB_S25	57-Si8-C_S25	57-Si8-MAB_S26	58-Si8-C_S26	58-Si8-MAB_S27	59-Si8-C_S27	59-Si8-MAB_S28	60-Si8-C_S28	60-Si8-MAB_S29	61-Si8-C_S29	61-Si8-MAB_S30	62-Si8-C_S30	62-Si8-MAB_S31	63-Si8-C_S31	63-Si8-MAB_S32	64-Si8-C_S32	64-Si8-MAB_S33
Genus_022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	119	0	148	0	0	0	0	0	37	0	133	0	0	0	0	0	0
Genus_023	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	211	0	71	0	17	0	0	0	0	0	0	0	2254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	3	58	0	2	0	0	0	6	0	0	0	0	0	0	0	24	0	291	0	29	0	0
Genus_024	0	6771	5511	0	2467	7362	0	2377	0	4361	0	2404	0	2808	0	2511	0	0	0	799	0	6599	0	8725	0	972	0	2459	0	2256	0	2518	0	1729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
Genus_026	0	32	90	0	63	52	0	18	0	25	0	31	0	0	0	7	0	0	0	0	0	0	0	0	4	5	0	14	0	0	0	0	0	9	94	13	48	18	225	0	31	43	96	14	4	0	40	14	358	0	23	0	0	66	0	0	0	0	0	0	7	2	0	0	10	0	10	109	0	110	15	949	210	0	16	0	134	0	43	0	0	1646	61	6986	288	75	0	135476	870
Genus_027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	12	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	23	0	200	0	427	0	0	0	0	0	185	0	341	0	0	0	0	0	0
Genus_028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	10	0	11	0	0	0	0
Genus_029	0	0	1099	0	0	16	0	0	0	9	23	149	0	20	0	0	63	346	0	21	0	709	0	181	0	56	0	0	0	0	0	0	0	2172	0	0	0	0	0	25	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	5	46	0	16	38	162	28	564	0	1379	0	17	0	26	0	254	0	786	0	39	0	18	0	0
Genus_030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	16	7	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
Genus_031	0	32	1783	0	56	9	0	22	0	0	0	346	133	1134	0	6	80	528	351	2826	0	114	51	1376	0	57	65	1190	0	114	0	30	56	1415	130	37	1303	0	0	79	430	655	0	0	0	223	1238	971	625	95	234	173	974	151	0	261	0	0	822	164	265	89	24	136	1512	213	439	0	9	1203	146	715	329	0	141	0	577	0	0	0	10	3381	168	1530	682	324	63	421	137
